Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	6/219	2.677027e-08	1.788741e-07	0	0	4.640610e+01	8.091356e+02	SMAD4;PIK3CA;CCND1;MYC;KRAS;TP53
KEGG_2021_Human	Human cytomegalovirus infection	6/225	3.144419e-08	2.009694e-07	0	0	4.512100e+01	7.794677e+02	PIK3CA;CCND1;MYC;KRAS;TP53;VEGFA
KEGG_2021_Human	Thyroid hormone signaling pathway	5/121	5.999637e-08	3.674778e-07	0	0	6.586870e+01	1.095329e+03	PIK3CA;CCND1;MYC;KRAS;TP53
KEGG_2021_Human	FoxO signaling pathway	5/131	8.933114e-08	5.252671e-07	0	0	6.061050e+01	9.837639e+02	SMAD4;PIK3CA;CCND1;BRAF;KRAS
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	5/143	1.384648e-07	7.828590e-07	0	0	5.530658e+01	8.734374e+02	SMAD4;PIK3CA;APC;MYC;KRAS
KEGG_2021_Human	Cellular senescence	5/156	2.136959e-07	1.163456e-06	0	0	5.051197e+01	7.757988e+02	PIK3CA;CCND1;MYC;KRAS;TP53
KEGG_2021_Human	Wnt signaling pathway	5/166	2.911126e-07	1.528341e-06	0	0	4.735069e+01	7.126069e+02	SMAD4;APC;CCND1;MYC;TP53
KEGG_2021_Human	Human papillomavirus infection	6/331	3.082677e-07	1.562598e-06	0	0	3.024154e+01	4.533901e+02	PIK3CA;APC;CCND1;KRAS;TP53;VEGFA
KEGG_2021_Human	Renal cell carcinoma	4/69	3.826818e-07	1.875141e-06	0	0	8.754725e+01	1.293604e+03	PIK3CA;BRAF;KRAS;VEGFA
KEGG_2021_Human	Central carbon metabolism in cancer	4/70	4.056473e-07	1.923553e-06	0	0	8.621645e+01	1.268915e+03	PIK3CA;MYC;KRAS;TP53
KEGG_2021_Human	PI3K-Akt signaling pathway	6/354	4.571697e-07	2.100123e-06	0	0	2.820977e+01	4.118122e+02	PIK3CA;CCND1;MYC;KRAS;TP53;VEGFA
KEGG_2021_Human	One carbon pool by folate	3/20	6.910744e-07	3.078422e-06	0	0	2.348824e+02	3.331810e+03	DHFR;MTHFR;TYMS
KEGG_2021_Human	ErbB signaling pathway	4/85	8.882963e-07	3.840575e-06	0	0	7.019753e+01	9.781296e+02	PIK3CA;MYC;BRAF;KRAS
KEGG_2021_Human	Small cell lung cancer	4/92	1.221027e-06	5.128315e-06	0	0	6.459091e+01	8.794581e+02	PIK3CA;CCND1;MYC;TP53
KEGG_2021_Human	Chemical carcinogenesis	5/239	1.763446e-06	7.200737e-06	0	0	3.245891e+01	4.300234e+02	PIK3CA;CCND1;MYC;KRAS;VEGFA
KEGG_2021_Human	Neurotrophin signaling pathway	4/119	3.417907e-06	1.357925e-05	0	0	4.935901e+01	6.212562e+02	PIK3CA;BRAF;KRAS;TP53
KEGG_2021_Human	Cell cycle	4/124	4.026624e-06	1.557668e-05	0	0	4.729048e+01	5.874698e+02	SMAD4;CCND1;MYC;TP53
